exam_id,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer
1,1,Kim loại nào sau đây là kim loại kiềm?,Fe,Cs,Be,Mg,B
1,2,Nguyên tố nào có số proton là 8?,O,N,F,Ne,A
1,3,Hợp chất nào là axit?,NaOH,HCl,KCl,CaCO3,B
1,4,Chất nào sau đây là bazơ?,H2SO4,NaOH,CO2,HCl,B
1,5,Nguyên tố nào thuộc nhóm VIIA?,Cl,Na,Mg,Ca,A
1,6,Kim loại nào dẫn điện tốt nhất?,Cu,Fe,Al,Zn,A
1,7,Hợp chất nào là muối?,NaCl,HNO3,KOH,H2SO4,A
1,8,Nguyên tố nào có số neutron lớn hơn proton?,H,He,Li,O,D
1,9,Chất nào không tan trong nước?,NaCl,AgCl,KNO3,NH4Cl,B
1,10,Phản ứng nào là phản ứng oxi hóa khử?,Na + Cl2 → NaCl,HCl + NaOH → NaCl + H2O,CaCO3 → CaO + CO2,NaCl + AgNO3 → AgCl + NaNO3,A
1,11,Kim loại nào phản ứng với nước ở nhiệt độ thường?,Na,Fe,Cu,Ag,A
1,12,Hợp chất nào có liên kết cộng hóa trị?,NaCl,H2O,KBr,CaO,B
1,13,Nguyên tố nào có bán kính nguyên tử lớn nhất?,Li,Na,K,Rb,D
1,14,Chất nào là khí hiếm?,He,O2,N2,Cl2,A
1,15,Phản ứng cháy tạo ra sản phẩm nào?,CO2 và H2O,HCl,NaCl,O2,A
1,16,Hợp chất nào có tính lưỡng tính?,Al2O3,Na2O,CaO,CO2,A
1,17,Nguyên tố nào thuộc nhóm IA?,K,Ca,Mg,Al,A
1,18,Chất nào là chất điện li mạnh?,HCl,CH3COOH,NH3,H2O,A
1,19,Kim loại nào không phản ứng với dung dịch HCl?,Cu,Fe,Zn,Mg,A
1,20,Hợp chất nào có công thức là H2SO4?,Axit sunfuric,Axit nitric,Axit clohidric,Axit photphoric,A
1,21,Nguyên tố nào có số oxi hóa cao nhất là +7?,Cl,S,P,N,A
1,22,Chất nào là oxit axit?,SO2,Na2O,CaO,MgO,A
1,23,Hợp chất nào tan trong nước tạo dung dịch kiềm?,NaOH,HCl,H2SO4,NaCl,A
1,24,Nguyên tố nào có độ âm điện lớn nhất?,F,O,Cl,N,A
1,25,Kim loại nào bị oxi hóa trong không khí?,Fe,Au,Ag,Pt,A
1,26,Chất nào là đơn chất?,O2,H2O,NaCl,CO2,A
1,27,Hợp chất nào có liên kết ion?,NaCl,CO2,CH4,H2O,A
1,28,Nguyên tố nào thuộc chu kỳ 3?,Na,Ne,F,O,A
1,29,Chất nào là chất khử trong phản ứng?,H2,O2,Cl2,CO2,A
1,30,Phản ứng nào là phản ứng thế?,Zn + CuSO4 → ZnSO4 + Cu,HCl + NaOH → NaCl + H2O,CaCO3 → CaO + CO2,NaCl + AgNO3 → AgCl + NaNO3,A
1,31,Kim loại nào có nhiệt độ nóng chảy thấp nhất?,Hg,Fe,Cu,Al,A
1,32,Hợp chất nào có tính bazơ yếu?,NH3,NaOH,KOH,Ca(OH)2,A
1,33,Nguyên tố nào thuộc nhóm VA?,N,O,F,Ne,A
1,34,Chất nào là oxit bazơ?,Na2O,SO2,CO2,P2O5,A
1,35,Hợp chất nào không dẫn điện?,CH4,NaCl,HCl,KOH,A
1,36,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np⁵?,Cl,Na,Mg,Ca,A
1,37,Kim loại nào phản ứng với dung dịch H2SO4 loãng?,Zn,Cu,Ag,Au,A
1,39,Chất nào là ankan?,CH4,C2H4,C2H2,C6H6,A
1,40,Nguyên tố nào có số khối là 16?,O,S,P,N,A

2,1,Kim loại nào sau đây là kim loại kiềm?,Na,K,Cs,Rb,B
2,2,Nguyên tố nào có số proton là 9?,O,N,F,Ne,C
2,3,Hợp chất nào là bazơ?,NaOH,HCl,KCl,Na2CO3,A
2,4,Chất nào là axit?,HNO3,NaOH,KOH,CaCO3,A
2,5,Nguyên tố nào thuộc nhóm VIIA?,Cl,F,I,Br,A
2,6,Kim loại nào dẫn điện tốt nhất?,Cu,Ag,Al,Fe,B
2,7,Hợp chất nào là muối?,NaCl,H2O,NaOH,HCl,A
2,8,Nguyên tố nào có số neutron lớn hơn proton?,O,He,Li,N,D
2,9,Chất nào không tan trong nước?,AgCl,NaCl,NaOH,KNO3,A
2,10,Phản ứng nào là phản ứng oxi hóa khử?,H2 + Cl2 → 2HCl,Na + H2O → NaOH + H2,CaCO3 → CaO + CO2,NaCl + AgNO3 → AgCl + NaNO3,B
2,11,Kim loại nào phản ứng mạnh với nước?,Na,K,Ca,Fe,A
2,12,Hợp chất nào có liên kết ion?,NaCl,H2O,CaCO3,CO2,A
2,13,Nguyên tố nào có bán kính nguyên tử nhỏ nhất?,H,He,Li,Na,D
2,14,Chất nào là khí hiếm?,Ne,Ar,Kr,Xe,A
2,15,Phản ứng cháy tạo ra sản phẩm nào?,CO2 và H2O,CO,H2,HCl,A
2,16,Hợp chất nào có tính lưỡng tính?,Al2O3,Na2O,SO3,CO2,A
2,17,Nguyên tố nào thuộc nhóm IA?,Li,Na,K,Cs,A
2,18,Chất nào là chất điện li mạnh?,HCl,NaOH,KOH,H2O,B
2,19,Kim loại nào không phản ứng với dung dịch H2SO4?,Cu,Fe,Zn,Ag,A
2,20,Hợp chất nào có công thức là H2SO4?,Axit sunfuric,Axit clohidric,Axit photphoric,Axit nitric,A
2,21,Nguyên tố nào có số oxi hóa cao nhất là +6?,S,P,O,N,A
2,22,Chất nào là oxit bazơ?,Na2O,SO3,CaO,MgO,A
2,23,Hợp chất nào tan trong nước tạo dung dịch axit?,HCl,NaOH,KOH,CaCO3,A
2,24,Nguyên tố nào có độ âm điện lớn nhất?,F,O,Cl,N,A
2,25,Kim loại nào bị oxi hóa trong không khí?,Fe,Ag,Au,Cu,A
2,26,Chất nào là đơn chất?,H2,O2,NaCl,CO2,A
2,27,Hợp chất nào có liên kết cộng hóa trị?,H2O,NaCl,CO2,CH4,B
2,28,Nguyên tố nào thuộc chu kỳ 4?,Na,Cl,K,Ar,B
2,29,Chất nào là chất khử trong phản ứng?,H2,O2,Cl2,CO2,A
2,30,Phản ứng nào là phản ứng thế?,Zn + CuSO4 → ZnSO4 + Cu,HCl + NaOH → NaCl + H2O,CaCO3 → CaO + CO2,NaCl + AgNO3 → AgCl + NaNO3,A
2,31,Kim loại nào có nhiệt độ nóng chảy cao nhất?,W,Fe,Cu,Ni,A
2,32,Hợp chất nào có tính bazơ mạnh?,NaOH,Na2CO3,KOH,Ca(OH)2,A
2,33,Nguyên tố nào thuộc nhóm VIIA?,Cl,F,I,Br,A
2,34,Chất nào là oxit axit?,SO2,Na2O,CaO,CO2,A
2,35,Hợp chất nào không dẫn điện?,CH4,NaCl,KOH,NaOH,A
2,36,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np³?,N,P,As,S,A
2,37,Kim loại nào phản ứng với dung dịch HCl loãng?,Zn,Cu,Ag,Al,A
2,38,Hợp chất nào là este?,CH3COOCH3,CH3COOH,CH3OH,CH3CHO,A
2,39,Chất nào là ankan?,CH4,C2H6,C3H8,C4H10,A
2,40,Nguyên tố nào có số khối là 14?,C,Si,Ge,S,A

3,1,Kim loại nào là kim loại kiềm?,Na,K,Cs,Rb,B
3,2,Nguyên tố nào có số proton là 7?,O,N,F,Ne,C
3,3,Chất nào là axit?,H2SO4,NaOH,NaCl,CO2,A
3,4,Chất nào là bazơ?,NaOH,H2SO4,KOH,HCl,B
3,5,Nguyên tố nào thuộc nhóm VIIA?,Cl,Na,Mg,Ca,A
3,6,Kim loại nào dẫn điện tốt nhất?,Cu,Fe,Ag,Zn,B
3,7,Hợp chất nào là muối?,NaCl,KNO3,H2O,CO2,A
3,8,Phản ứng nào là phản ứng oxi hóa khử?,Na + Cl2 → NaCl,HCl + NaOH → NaCl + H2O,Na2CO3 → Na2O + CO2,NaCl + AgNO3 → AgCl + NaNO3,A
3,9,Chất nào không tan trong nước?,NaCl,AgCl,KNO3,CuSO4,B
3,10,Nguyên tố nào có số neutron lớn hơn proton?,H,He,Li,O,D
3,11,Chất nào không dẫn điện?,NaCl,CuSO4,HCl,NaOH,A
3,12,Chất nào là axit yếu?,HCl,CH3COOH,NaOH,KOH,B
3,13,Giải bài toán: Tính khối lượng CO2 sinh ra khi đốt cháy 4,4g CH4 trong oxi. (Công thức: CH4 + 2O2 → CO2 + 2H2O),A. 5,5g,B. 8,8g,C. 22g,D. 44g,B
3,14,Chất nào là khí hiếm?,He,Ne,Xe,Ar,A
